Time 0	sarc.Sarc Const	Mark Time	Marks	
1.3761	1.7260	331.8197	Pacer[TTL]	
1.3801	1.7260	331.8207	Pacer[TTL]	
1.3841	1.7260	333.7377	Pacer[TTL]	
1.3881	1.7260	333.7387	Pacer[TTL]	
1.3921	1.7260	335.6557	Pacer[TTL]	
1.3961	1.7260	335.6567	Pacer[TTL]	
1.4001	1.7260	337.5737	Pacer[TTL]	
1.4041	1.7260	337.5747	Pacer[TTL]	
1.4081	1.7260	339.4907	Pacer[TTL]	
1.4121	1.7260	339.4917	Pacer[TTL]	
1.4161	1.7270	341.4087	Pacer[TTL]	
1.4201	1.7260	341.4097	Pacer[TTL]	
1.4241	1.7270	343.3267	Pacer[TTL]	
1.4281	1.7260	343.3277	Pacer[TTL]	
1.4321	1.7270	345.2447	Pacer[TTL]	
1.4361	1.7270	345.2457	Pacer[TTL]	
1.4401	1.7260	347.1617	Pacer[TTL]	
1.4441	1.7270	347.1627	Pacer[TTL]	
1.4481	1.7260	349.0797	Pacer[TTL]	
1.4521	1.7260	349.0807	Pacer[TTL]	
1.4561	1.7260	350.9977	Pacer[TTL]	
1.4601	1.7260	350.9987	Pacer[TTL]	
1.4641	1.7270	352.9157	Pacer[TTL]	
1.4681	1.7270	352.9167	Pacer[TTL]	
1.4721	1.7260	354.8337	Pacer[TTL]	
1.4761	1.7260	354.8347	Pacer[TTL]	
1.4801	1.7270	356.7507	Pacer[TTL]	
1.4841	1.7260	356.7517	Pacer[TTL]	
1.4881	1.7260	358.6687	Pacer[TTL]	
1.4921	1.7260	358.6697	Pacer[TTL]	
1.4961	1.7260	360.5867	Pacer[TTL]	
1.5001	1.7260	360.5877	Pacer[TTL]	
1.5041	1.7260	362.5047	Pacer[TTL]	
1.5081	1.7260	362.5057	Pacer[TTL]	
1.5121	1.7260	364.4217	Pacer[TTL]	
1.5161	1.7260	364.4227	Pacer[TTL]	
1.5201	1.7270	366.3397	Pacer[TTL]	
1.5241	1.7260	366.3407	Pacer[TTL]	
1.5281	1.7260	368.2577	Pacer[TTL]	
1.5321	1.7260	368.2587	Pacer[TTL]	
1.5361	1.7260	370.1757	Pacer[TTL]	
1.5401	1.7270	370.1767	Pacer[TTL]	
1.5441	1.7270	372.0927	Pacer[TTL]	
1.5481	1.7270	372.0947	Pacer[TTL]	
1.5521	1.7260	374.0107	Pacer[TTL]	
1.5561	1.7260	374.0117	Pacer[TTL]	
1.5601	1.7260	375.9287	Pacer[TTL]	
1.5642	1.7270	375.9297	Pacer[TTL]	
1.5681	1.7270	377.8467	Pacer[TTL]	
1.5721	1.7270	377.8477	Pacer[TTL]	
1.5761	1.7260	379.7647	Pacer[TTL]	
1.5801	1.7270	379.7657	Pacer[TTL]	
1.5841	1.7270	381.6817	Pacer[TTL]	
1.5881	1.7260	381.6827	Pacer[TTL]	
1.5921	1.7260	383.5997	Pacer[TTL]	
1.5961	1.7260	383.6007	Pacer[TTL]	
1.6001	1.7270	385.5177	Pacer[TTL]	
1.6041	1.7260	385.5187	Pacer[TTL]	
1.6081	1.7270	387.4357	Pacer[TTL]	
1.6121	1.7260	387.4367	Pacer[TTL]	
1.6161	1.7260	389.3527	Pacer[TTL]	
1.6201	1.7270	389.3537	Pacer[TTL]	
1.6241	1.7270	391.2707	Pacer[TTL]	
1.6281	1.7260	391.2717	Pacer[TTL]	
1.6321	1.7260	393.1887	Pacer[TTL]	
1.6361	1.7260	393.1897	Pacer[TTL]	
1.6401	1.7260	395.1067	Pacer[TTL]	
1.6441	1.7260	395.1077	Pacer[TTL]	
1.6481	1.7260	397.0237	Pacer[TTL]	
1.6521	1.7260	397.0257	Pacer[TTL]	
1.6561	1.7260	398.9417	Pacer[TTL]	
1.6601	1.7260	398.9427	Pacer[TTL]	
1.6641	1.7260	400.8597	Pacer[TTL]	
1.6681	1.7260	400.8607	Pacer[TTL]	
1.6721	1.7270	402.7777	Pacer[TTL]	
1.6761	1.7260	402.7787	Pacer[TTL]	
1.6801	1.7270	404.6947	Pacer[TTL]	
1.6841	1.7270	404.6967	Pacer[TTL]	
1.6881	1.7270	406.6127	Pacer[TTL]	
